"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-22","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-23","88",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-24","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-25","88",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-26","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-27","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-28","84",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-29","82",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-30","83",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-07-31","84",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-01","82",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-02","84",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-03","86",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-04","88",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-05","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-06","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-07","84",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-08","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-09","81",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-10","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-11","83",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-12","86",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-13","89",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-14","86",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-15","82",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-16","83",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-17","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-08-18","84",,
